Fecha;UCWF;UCWDP;UCFDP;UCFMS;UCFMEP;UCAF;UCFMC;UCMVB;UCAH;UCFS;UCFVB;UCFMV;UCFMT;UCHC;UCHAH;UCHV;MVWF2;MVCV;MVDP;MVWF1;MVWF1.setting;MVSO;MVOT;CPPR;CPHE;CPMEP;CPCF;CPHP;CPMC;CPAH;CPMV;CPMT;CPSP;CPDP;UCSDP;AMBH;AMBT;UCAIH;UCAIT;UCAOH;UCAOT;UCWIT;UCWOT
11/03/2021 11:43:56;0;7;6.69;0;0;354;0;0;1358;1;0.01;0;26.4;0.008;76;411.1;0;0.57;0;1;0;23;0;34;0;3;0;0;0.008;31.8;405;0;72;107;0;39;27.55;39.9;26.79;42.73;25.32;18.33;20.48
11/03/2021 11:43:57;156;3;7.02;155;24;363;2.37;0.03;1358;1;0.12;77;24.9;0.008;76;411.1;156;0.57;74;1;0;23;0;812;107;3;0;4;0.008;31.8;403.7;0;-192;620;0;39;27.55;39.9;26.79;42.73;25.28;18.28;20.43
11/03/2021 11:43:58;375;18;8.7;381;28;404;1.96;0.26;1358;102;0.42;119;24.9;0.008;76;411.1;375;0.57;427;1;0;23;0;1589;4;355;0;17;0.904;31.8;404.4;0;-307;1283;0;39;27.55;39.9;26.79;42.73;25.29;18.33;20.43
11/03/2021 11:43:59;418;15;12.38;606;37;482;1.37;0.12;1358;259;0.42;168;24.9;0.008;76;411.1;418;0.57;531;1;0;23;0;1581;4;427;0;19;0.953;31.8;405.5;0;-280;1301;0.49;39;27.55;39.9;26.79;42.7;25.31;18.38;20.43
11/03/2021 11:44:00;440;16;23.42;831;64;663;1.18;0.58;1358;420;0.68;221;25.1;0.008;76;411.1;440;0.57;588;1;0;23;0;1571;4;425;0;19;0.947;31.8;405.6;0;-285;1286;3.91;39;27.55;39.9;26.79;42.73;25.34;18.47;20.67
11/03/2021 11:44:01;445;15;34.12;1056;85;800;1.13;0.48;1358;570;0.79;274;25.3;0.008;76;411.1;445;0.57;601;1;0;23;0;1569;4;425;0;19;0.943;31.8;405.6;0;-285;1284;6.84;39;27.55;39.9;26.79;42.7;25.36;18.47;20.82
11/03/2021 11:44:02;448;15;54.53;1281;117;1012;1.1;2.11;1358;741;1.5;329;25.3;0.008;76;411.1;448;0.57;609;1;0;23;0;1561;4;426;0;19;0.941;31.8;405.1;0;-285;1276;11.23;39;27.55;39.9;26.79;42.7;25.32;18.38;20.96
11/03/2021 11:44:03;448;17;71.59;1506;138;1159;1.09;1.49;1358;889;1.76;383;25.6;0.008;76;411.1;448;0.57;610;1;0;23;0;1561;4;426;0;19;0.941;31.8;404.5;0;-285;1276;14.65;39;27.55;39.9;26.79;42.73;25.31;18.38;20.96
11/03/2021 11:44:04;250;12;102.03;1731;182;1384;1.02;1.5;1358;1054;2.02;411;25.9;0.008;76;411.1;250;0.31;634;1;0;14;0;1559;2;426;0;11;0.943;31.8;404.5;0;-272;1287;21;39;27.55;39.9;26.79;42.65;25.34;18.23;20.82
11/03/2021 11:44:05;252;12;126.45;1953;215;1541;0.86;1.32;1358;1214;3.16;414;26.1;0.008;76;411.1;252;0.31;643;1;0;14;0;1558;1;426;0;10;0.943;31.8;405.1;0;-271;1287;25.4;39;27.55;39.9;26.79;42.65;25.31;18.08;20.77
11/03/2021 11:44:06;252;13;135.15;1953;187;1593;0.81;1.21;1358;1348;4.04;412;26.1;0.008;76;411.1;252;0.31;642;1;0;14;0;1552;1;426;0;10;0.943;31.8;405.2;0;-268;1285;27.35;39;27.55;39.9;26.79;42.61;25.29;17.94;20.67
11/03/2021 11:44:07;251;13;135.82;1953;190;1597;0.8;1.21;1358;1354;3.73;414;26.1;0.008;76;411.1;251;0.31;645;1;0;14;0;1549;1;426;0;10;0.94;31.8;405.2;0;-265;1284;26.86;39;27.55;39.9;26.79;42.61;25.29;17.84;20.67
11/03/2021 11:44:08;251;13;138.49;1953;192;1612;0.8;1.21;1358;1368;3.5;413;26.2;0.008;76;411.1;251;0.31;646;1;0;14;0;1545;1;427;0;10;0.945;31.8;404.3;0;-266;1281;27.35;39;27.55;39.9;26.79;42.58;25.29;17.79;20.62
11/03/2021 11:44:09;251;13;136.82;1953;186;1602;0.8;1.24;1358;1356;3.54;413;26.2;0.008;76;411.1;251;0.31;646;1;0;14;0;1548;1;428;0;10;0.945;31.8;405.4;0;-266;1282;27.84;39;27.55;39.9;26.79;42.56;25.32;17.69;20.52
11/03/2021 11:44:10;252;13;137.49;1953;189;1606;0.79;1.23;1358;1367;3.69;412;26.2;0.008;76;411.1;252;0.31;642;1;0;14;0;1545;1;429;0;10;0.943;31.8;405.4;0;-264;1280;26.86;39;27.55;39.9;26.79;42.53;25.31;17.69;20.43
11/03/2021 11:44:11;252;13;136.82;1953;182;1602;0.79;1.23;1358;1368;3.52;412;26.2;0.008;76;411.1;252;0.31;642;1;0;14;0;1537;1;429;0;10;0.944;31.8;405;0;-264;1272;26.86;39;27.55;39.9;26.79;42.53;25.28;17.64;20.43
11/03/2021 11:44:12;252;13;135.82;1953;192;1597;0.79;1.23;1358;1368;3.85;412;26.2;0.008;76;411.1;252;0.31;642;1;0;14;0;1528;1;430;0;10;0.943;31.8;405;0;-260;1267;26.86;39;27.55;39.9;26.79;42.53;25.26;17.64;20.43
11/03/2021 11:44:13;252;11;135.15;1953;188;1593;0.79;1.21;1358;1355;3.61;412;26.1;0.008;76;411.1;252;0.31;644;1;0;14;0;1524;1;430;0;10;0.943;31.8;405.4;0;-263;1262;27.35;39;27.55;39.9;26.79;42.48;25.31;17.59;20.38
11/03/2021 11:44:14;250;11;136.15;1953;195;1599;0.79;1.2;1358;1368;3.4;413;26.1;0.008;76;411.1;250;0.31;637;1;0;14;0;1533;1;430;0;10;0.943;31.8;404.8;0;-263;1270;26.86;39;27.55;39.99;26.79;42.51;25.28;17.5;20.38
11/03/2021 11:44:15;250;11;133.14;1953;175;1581;0.79;1.18;1358;1355;3.52;412;26.3;0.008;76;411.1;250;0.31;640;1;0;14;0;1524;1;430;0;10;0.944;31.8;404.7;0;-259;1265;26.37;39;27.55;39.99;26.79;42.48;25.33;17.5;20.38
11/03/2021 11:44:16;249;12;137.15;1953;185;1604;0.79;1.25;1358;1369;3.68;412;26.3;0.008;76;411.1;249;0.31;635;1;0;14;0;1520;1;432;0;10;0.943;31.8;404.7;0;-259;1262;26.86;39;27.55;39.99;26.79;42.51;25.28;17.35;20.38
11/03/2021 11:44:17;249;11;137.82;1953;188;1608;0.79;1.19;1358;1354;3.58;411;26.4;0.008;76;411.1;249;0.31;635;1;0;14;0;1512;1;434;0;10;0.943;31.8;405.2;0;-259;1254;27.35;39;27.55;39.99;26.79;42.48;25.29;17.3;20.38
11/03/2021 11:44:18;248;12;138.49;1953;189;1612;0.79;1.25;1358;1369;3.56;411;26.4;0.008;76;411.1;248;0.31;629;1;0;14;0;1513;1;433;0;11;0.943;31.8;405.2;0;-259;1255;26.37;39;27.55;40.02;26.79;42.48;25.29;17.2;20.38
11/03/2021 11:44:19;248;12;138.16;1953;191;1610;0.79;1.14;1358;1355;3.83;411;26.5;0.008;76;411.1;248;0.31;628;1;0;14;0;1504;1;433;0;11;0.941;31.8;404.4;0;-255;1249;26.86;39;27.55;40.02;26.79;42.51;25.31;17.15;20.48
11/03/2021 11:44:20;247;11;135.15;1953;175;1593;0.79;1.25;1358;1368;3.39;411;26.5;0.008;76;411.1;247;0.31;625;1;0;14;0;1507;1;435;0;11;0.941;31.8;404.4;0;-258;1249;27.35;39;27.55;39.99;26.79;42.51;25.31;17.01;20.48
11/03/2021 11:44:21;247;11;135.82;1953;186;1597;0.79;1.16;1358;1368;3.71;412;26.5;0.008;76;411.1;247;0.31;623;1;0;14;0;1503;1;434;0;11;0.941;31.8;404.4;0;-256;1247;26.86;39;27.55;40.02;26.79;42.53;25.28;16.86;20.48
11/03/2021 11:44:22;247;11;137.15;1953;181;1604;0.8;1.2;1358;1368;3.67;412;26.5;0.008;76;411.1;247;0.31;624;1;0;14;0;1497;1;434;0;11;0.936;31.8;404.2;0;-253;1243;26.86;39;27.55;40.02;26.79;42.56;25.26;16.62;20.48
11/03/2021 11:44:23;246;12;134.14;1953;184;1587;0.8;1.18;1358;1356;3.33;412;26.5;0.008;76;411.1;246;0.31;622;1;0;14;0;1495;1;430;0;11;0.936;31.8;403.2;0;-252;1243;27.35;39;27.55;40.02;26.79;42.53;25.28;16.52;20.52
11/03/2021 11:44:24;246;11;135.15;1953;181;1593;0.8;1.23;1358;1367;3.64;411;26.5;0.008;76;411.1;246;0.31;621;1;0;14;0;1491;1;428;0;11;0.937;31.8;403.2;0;-252;1239;26.86;39;27.55;40.02;26.79;42.58;25.26;16.42;20.62
11/03/2021 11:44:25;246;11;134.48;1953;187;1589;0.79;1.16;1358;1367;3.97;411;26.5;0.008;76;411.1;246;0.31;621;1;0;14;0;1497;1;428;0;11;0.936;31.8;403.9;0;-254;1243;26.37;39;27.55;40.02;26.79;42.58;25.25;16.32;20.62
11/03/2021 11:44:26;247;11;134.81;1953;183;1591;0.79;1.27;1358;1369;3.34;411;26.5;0.008;76;411.1;247;0.31;615;1;0;14;0;1490;1;428;0;11;0.935;31.8;403.8;0;-254;1236;26.86;39;27.55;39.99;26.79;42.61;25.25;16.18;20.67
11/03/2021 11:44:27;247;11;135.82;1953;179;1597;0.8;1.19;1358;1369;3.64;412;26.6;0.008;76;411.1;247;0.31;614;1;0;14;0;1492;1;426;0;11;0.935;31.8;404.3;0;-257;1235;26.86;39;27.55;40.02;26.79;42.61;25.23;16.13;20.67
11/03/2021 11:44:28;247;12;136.15;1953;184;1599;0.79;1.23;1358;1369;3.46;412;26.6;0.008;76;411.1;247;0.31;617;1;0;14;0;1500;1;425;0;11;0.933;31.8;404.3;0;-259;1241;26.37;39;27.55;40.02;26.79;42.65;25.26;16.03;20.77
11/03/2021 11:44:29;248;12;135.82;1953;188;1597;0.79;1.17;1358;1357;3.21;412;26.6;0.008;76;411.1;248;0.31;620;1;0;14;0;1517;1;425;0;11;0.934;31.8;403.7;0;-263;1253;26.37;39;27.55;40.02;26.79;42.68;25.27;15.98;20.77
11/03/2021 11:44:30;249;12;136.15;1953;185;1599;0.79;1.22;1358;1367;3.69;412;26.5;0.008;76;411.1;249;0.31;627;1;0;14;0;1523;1;426;0;11;0.934;31.8;403.6;0;-264;1259;26.86;39;27.55;40.02;26.79;42.65;25.23;15.89;20.82
11/03/2021 11:44:31;250;12;137.15;1953;186;1604;0.79;1.21;1358;1355;3.83;412;26.6;0.008;76;411.1;250;0.31;631;1;0;14;0;1533;1;426;0;11;0.934;31.8;403.6;0;-266;1267;26.86;39;27.55;40.02;26.79;42.7;25.25;15.84;20.82
11/03/2021 11:44:32;251;14;136.15;1953;182;1599;0.79;1.18;1358;1368;3.57;411;26.6;0.008;76;411.1;251;0.31;636;1;0;14;0;1543;1;426;0;11;0.933;31.8;404.1;0;-271;1271;26.86;39;27.55;39.99;26.79;42.75;25.26;15.69;20.87
11/03/2021 11:44:33;252;12;132.47;1953;186;1577;0.79;1.22;1358;1355;3.49;411;26.7;0.008;76;411.1;252;0.31;638;1;0;14;0;1549;1;426;0;11;0.933;31.8;404.1;0;-273;1275;26.86;39;27.55;40.02;26.79;42.75;25.2;15.64;20.96
11/03/2021 11:44:34;252;11;135.48;1953;187;1595;0.79;1.16;1358;1368;3.4;412;26.7;0.008;76;411.1;252;0.31;642;1;0;14;0;1554;1;427;0;11;0.933;31.8;404.1;0;-275;1279;26.86;39;27.55;40.02;26.79;42.8;25.22;15.69;20.96
11/03/2021 11:44:35;253;13;137.82;1953;187;1608;0.8;1.2;1358;1349;3.22;412;26.8;0.008;76;411.1;253;0.31;644;1;0;14;0;1564;1;427;0;11;0.934;31.8;403.8;0;-277;1288;27.84;39;27.55;39.99;26.79;42.8;25.23;15.59;21.06
11/03/2021 11:44:36;253;11;138.83;1953;180;1614;0.8;1.2;1358;1374;3.45;412;26.8;0.008;76;411.1;253;0.31;647;1;0;14;0;1560;1;426;0;11;0.933;31.8;403.9;0;-276;1283;26.86;39;27.55;39.99;26.79;42.85;25.2;15.59;21.06
11/03/2021 11:44:38;253;12;138.83;1953;179;1614;0.8;1.2;1358;1374;3.44;412;26.8;0.008;76;411.1;253;0.31;647;1;0;14;0;1560;1;426;0;11;0.933;31.8;403.9;0;-276;1283;26.86;39;27.55;39.99;26.79;42.85;25.2;15.59;21.06
11/03/2021 11:44:39;252;12;137.82;1953;179;1608;0.79;1.23;1358;1355;3.44;412;26.8;0.008;76;411.1;252;0.31;650;1;0;14;0;1566;1;426;0;11;0.931;31.8;403.9;0;-275;1291;26.86;39;27.55;40.09;26.79;42.9;25.23;15.45;21.21
11/03/2021 11:44:40;252;12;132.47;1953;176;1577;0.79;1.17;1358;1355;3.41;412;26.8;0.008;76;411.1;252;0.31;650;1;0;14;0;1570;1;427;0;11;0.933;31.8;403.3;0;-276;1295;26.37;39;27.55;40.09;26.79;42.95;25.21;15.45;21.26
11/03/2021 11:44:41;252;14;138.83;1953;185;1614;0.79;1.22;1358;1352;3.3;412;26.8;0.008;76;411.1;252;0.31;650;1;0;14;0;1568;1;426;0;11;0.933;31.8;403.6;0;-276;1293;26.86;39;27.55;40.09;26.79;42.95;25.16;15.4;21.26
11/03/2021 11:44:42;253;12;138.16;1953;196;1610;0.79;1.17;1358;1372;3.62;412;26.9;0.008;76;411.1;253;0.31;645;1;0;14;0;1565;1;426;0;11;0.931;31.8;403.6;0;-276;1290;26.86;39;27.55;40.09;26.79;43;25.22;15.4;21.36
11/03/2021 11:44:43;252;13;136.48;1953;190;1601;0.79;1.25;1358;1356;3.54;411;26.9;0.008;76;411.1;252;0.31;648;1;0;14;0;1566;1;426;0;11;0.931;31.8;404;0;-274;1292;26.86;39;27.55;40.09;26.79;43;25.19;15.3;21.31
11/03/2021 11:44:44;253;13;136.48;1953;183;1601;0.8;1.16;1358;1368;3.66;411;26.9;0.008;76;411.1;253;0.31;647;1;0;14;0;1563;1;426;0;11;0.934;31.8;403.5;0;-276;1287;27.35;39;27.55;40.09;26.79;43.05;25.17;15.3;21.4
11/03/2021 11:44:45;254;12;136.15;1953;188;1599;0.8;1.27;1358;1355;3.5;411;27;0.008;76;411.1;254;0.31;649;1;0;14;0;1562;1;426;0;11;0.934;31.8;403.5;0;-275;1287;26.86;39;27.55;40.09;26.79;43.07;25.22;15.25;21.5
11/03/2021 11:44:46;254;13;134.14;1953;186;1587;0.79;1.12;1358;1369;3.39;410;27;0.008;76;411.1;254;0.31;650;1;0;14;0;1568;1;428;0;11;0.933;31.8;404.2;0;-274;1293;27.84;39;27.55;40.09;26.74;43.12;25.16;15.25;21.55
11/03/2021 11:44:47;254;13;136.48;1953;182;1601;0.79;1.23;1358;1358;3.17;410;27;0.008;76;411.1;254;0.31;651;1;0;14;0;1565;1;427;0;11;0.932;31.8;404.1;0;-274;1292;26.37;39;27.55;40.09;26.74;43.12;25.19;15.15;21.55
11/03/2021 11:44:48;254;11;137.49;1953;180;1606;0.8;1.16;1358;1366;3.73;410;27;0.008;76;411.1;254;0.31;650;1;0;14;0;1573;1;427;0;11;0.932;31.8;404.1;0;-277;1296;26.86;39;27.55;40.09;26.74;43.14;25.16;15.15;21.65
11/03/2021 11:44:49;254;11;135.82;1953;178;1597;0.79;1.21;1358;1356;3.62;411;27;0.008;76;411.1;254;0.31;650;1;0;14;0;1562;1;426;0;11;0.931;31.8;403.8;0;-274;1288;27.35;39;27.51;40.09;26.74;43.14;25.19;15.15;21.6
11/03/2021 11:44:50;254;11;138.16;1953;185;1610;0.79;1.21;1358;1368;3.53;410;27;0.008;76;411.1;254;0.31;650;1;0;14;0;1571;1;427;0;11;0.933;31.8;403.4;0;-277;1294;26.86;39;27.49;40.09;26.74;43.22;25.17;15.1;21.65
11/03/2021 11:44:51;254;12;137.49;1953;189;1606;0.79;1.19;1358;1356;3.39;410;27;0.008;76;411.1;254;0.31;652;1;0;14;0;1576;1;427;0;11;0.933;31.8;403.4;0;-277;1300;26.86;39;27.49;40.09;26.74;43.22;25.15;15.1;21.7
11/03/2021 11:44:52;255;12;136.82;1953;189;1602;0.79;1.2;1358;1368;3.31;411;27.1;0.008;76;411.1;255;0.31;654;1;0;14;0;1579;1;428;0;11;0.932;31.8;403.9;0;-277;1302;27.35;39;27.49;40.09;26.74;43.24;25.16;15.1;21.75
11/03/2021 11:44:53;255;12;136.48;1953;185;1601;0.8;1.2;1358;1357;3.25;410;27.1;0.008;76;411.1;255;0.31;654;1;0;14;0;1570;1;427;0;11;0.931;31.8;403.9;0;-274;1295;26.86;39;27.49;40.09;26.74;43.27;25.11;15.01;21.79
11/03/2021 11:44:54;255;14;133.81;1953;175;1585;0.8;1.18;1358;1367;3.71;411;27.1;0.008;76;411.1;255;0.31;654;1;0;14;0;1579;1;428;0;11;0.932;31.8;403.5;0;-278;1301;26.86;39;27.49;40.09;26.74;43.31;25.1;15.01;21.84
11/03/2021 11:44:55;255;12;136.15;1953;171;1599;0.79;1.21;1358;1367;3.54;412;27.2;0.008;76;411.1;255;0.31;655;1;0;14;0;1579;1;428;0;11;0.932;31.8;403.5;0;-275;1306;27.35;39;27.49;40.21;26.74;43.34;25.14;15.01;21.84
11/03/2021 11:44:56;255;13;136.48;1953;173;1601;0.79;1.18;1358;1369;3.58;412;27.2;0.008;76;411.1;255;0.31;655;1;0;14;0;1579;1;428;0;11;0.932;31.8;403.8;0;-277;1302;26.86;39;27.49;40.21;26.74;43.36;25.11;14.96;21.94
11/03/2021 11:44:57;256;12;136.48;1953;181;1601;0.79;1.25;1358;1368;3.49;411;27.2;0.008;76;411.1;256;0.31;660;1;0;14;0;1577;1;428;0;11;0.93;31.8;403.9;0;-275;1302;26.86;39;27.49;40.21;26.74;43.39;25.1;14.96;21.89
11/03/2021 11:44:58;256;12;136.15;1953;178;1599;0.79;1.18;1358;1368;3.39;410;27.2;0.008;76;411.1;256;0.31;660;1;0;14;0;1579;1;428;0;11;0.93;31.8;403.9;0;-276;1304;26.86;39;27.49;40.21;26.74;43.41;25.1;14.96;21.99
11/03/2021 11:44:59;256;15;135.82;1953;187;1597;0.8;1.22;1358;1368;3.24;410;27.2;0.008;76;411.1;256;0.31;660;1;0;14;0;1584;1;428;0;11;0.93;31.8;403.9;0;-277;1309;26.86;39;27.49;40.21;26.74;43.41;25.12;14.96;21.99
11/03/2021 11:45:00;256;11;134.48;1953;186;1589;0.8;1.17;1358;1355;3.38;412;27.3;0.008;76;411.1;256;0.31;662;1;0;14;0;1586;1;428;0;11;0.932;31.8;404.2;0;-276;1308;26.86;39;27.49;40.21;26.74;43.46;25.12;14.86;22.04
11/03/2021 11:45:01;256;15;134.81;1953;186;1591;0.8;1.18;1358;1356;3.36;410;27.3;0.008;76;411.1;256;0.31;663;1;0;14;0;1588;1;427;0;11;0.93;31.8;404;0;-276;1311;26.86;39;27.49;40.21;26.74;43.46;25.12;14.86;22.04
11/03/2021 11:45:02;256;14;135.82;1953;182;1597;0.8;1.21;1358;1356;3.85;410;27.3;0.008;76;411.1;256;0.31;660;1;0;14;0;1587;1;427;0;11;0.93;31.8;404;0;-276;1310;27.84;39;27.49;40.21;26.74;43.48;25.1;14.86;22.04
11/03/2021 11:45:03;256;12;136.82;1953;185;1602;0.79;1.2;1358;1356;3.71;411;27.3;0.008;76;411.1;256;0.31;660;1;0;14;0;1590;1;426;0;11;0.929;31.8;403.7;0;-276;1314;27.35;39;27.49;40.21;26.74;43.51;25.05;14.81;22.04
11/03/2021 11:45:04;256;13;135.48;1953;181;1595;0.79;1.24;1358;1350;3.21;410;27.4;0.008;76;411.1;256;0.31;662;1;0;14;0;1588;1;426;0;11;0.929;31.8;403.5;0;-279;1309;26.37;39;27.49;40.21;26.74;43.53;25.11;14.81;22.14
11/03/2021 11:45:05;255;11;131.47;1953;188;1571;0.79;1.18;1358;1350;3.39;410;27.4;0.008;76;411.1;255;0.31;664;1;0;14;0;1587;1;426;0;11;0.929;31.8;403.5;0;-277;1309;26.37;39;27.49;40.21;26.74;43.58;25.08;14.81;22.14
11/03/2021 11:45:06;256;12;137.49;1953;190;1606;0.79;1.22;1358;1368;3.27;410;27.4;0.008;76;411.1;256;0.31;664;1;0;14;0;1585;1;426;0;11;0.929;31.8;403.5;0;-277;1309;26.86;39;27.49;40.21;26.74;43.61;25.1;14.71;22.19
11/03/2021 11:45:07;255;15;135.48;1953;183;1595;0.8;1.16;1358;1368;3.43;409;27.4;0.008;76;411.1;255;0.31;664;1;0;14;0;1590;1;427;0;11;0.928;31.8;403.5;0;-279;1311;26.37;39;27.49;40.29;26.74;43.63;25.09;14.62;22.23
11/03/2021 11:45:08;256;13;137.82;1953;188;1608;0.8;1.24;1358;1348;3.69;409;27.4;0.008;76;411.1;256;0.31;662;1;0;14;0;1590;1;426;0;11;0.926;31.8;403.2;0;-278;1313;27.84;39;27.49;40.29;26.74;43.66;25.09;14.57;22.19
11/03/2021 11:45:09;256;13;136.82;1953;189;1602;0.8;1.17;1358;1348;3.42;411;27.4;0.008;76;411.1;256;0.31;662;1;0;14;0;1590;1;427;0;11;0.926;31.8;403.2;0;-280;1311;27.35;39;27.49;40.29;26.74;43.66;25.06;14.52;22.19
11/03/2021 11:45:10;257;13;135.82;1953;182;1597;0.79;1.26;1358;1376;3.33;410;27.4;0.008;76;411.1;257;0.31;665;1;0;14;0;1590;1;427;0;11;0.928;31.8;402.8;0;-280;1310;26.86;39;27.49;40.29;26.74;43.68;25.04;14.27;22.28
11/03/2021 11:45:11;257;11;135.48;1953;184;1595;0.8;1.25;1358;1376;3.52;410;27.4;0.008;76;411.1;257;0.31;668;1;0;14;0;1592;1;426;0;11;0.927;31.8;403.4;0;-278;1314;26.86;39;27.49;40.29;26.74;43.7;25.06;14.18;22.23
11/03/2021 11:45:12;257;10;135.82;1953;178;1597;0.79;1.23;1358;1358;3.21;410;27.5;0.008;76;411.1;257;0.31;666;1;0;14;0;1594;1;427;0;11;0.926;31.8;403.1;0;-278;1316;26.86;39;27.49;40.29;26.74;43.73;25.01;13.93;22.28
11/03/2021 11:45:13;257;11;135.82;1953;184;1597;0.8;1.19;1358;1358;3.45;410;27.5;0.008;76;411.1;257;0.31;668;1;0;14;0;1589;1;427;0;11;0.926;31.8;403.1;0;-278;1312;26.86;39;27.49;40.29;26.74;43.73;25.05;13.69;22.28
11/03/2021 11:45:14;257;11;135.15;1953;177;1593;0.8;1.23;1358;1369;3.47;408;27.5;0.008;76;411.1;257;0.31;668;1;0;14;0;1591;1;426;0;11;0.928;31.8;402.9;0;-278;1312;27.84;39;27.49;40.29;26.74;43.78;25.01;13.39;22.28
11/03/2021 11:45:15;257;14;137.82;1953;188;1608;0.8;1.17;1358;1369;3.35;411;27.5;0.008;76;411.1;257;0.31;667;1;0;14;0;1591;1;426;0;11;0.928;31.8;402.9;0;-280;1310;26.37;39;27.5;40.29;26.74;43.78;24.99;13.2;22.28
11/03/2021 11:45:16;257;12;135.48;1953;180;1595;0.79;1.23;1358;1355;3.59;410;27.5;0.008;76;411.1;257;0.31;667;1;0;14;0;1588;1;426;0;11;0.928;31.8;402.9;0;-278;1311;26.86;39;27.5;40.29;26.6;43.83;25;12.86;22.38
11/03/2021 11:45:17;257;10;135.15;1953;188;1593;0.79;1.17;1358;1356;3.46;410;27.6;0.008;76;411.1;257;0.31;666;1;0;14;0;1590;1;426;0;11;0.925;31.8;403.1;0;-279;1311;26.86;39;27.5;40.29;26.6;43.85;25;12.66;22.33
11/03/2021 11:45:18;257;14;133.47;1953;183;1583;0.8;1.25;1358;1356;3.13;411;27.6;0.008;76;411.1;257;0.31;666;1;0;14;0;1595;1;427;0;11;0.925;31.8;403.1;0;-277;1317;26.86;39;27.5;40.29;26.6;43.88;25.05;12.32;22.38
11/03/2021 11:45:19;257;11;133.81;1953;183;1585;0.8;1.16;1358;1356;3.55;411;27.6;0.008;76;411.1;257;0.31;666;1;0;14;0;1587;1;427;0;11;0.925;31.8;403.1;0;-279;1308;26.86;39;27.5;40.29;26.6;43.88;25;12.22;22.33
11/03/2021 11:45:20;256;12;135.82;1953;183;1597;0.8;1.24;1358;1356;3.52;411;27.6;0.008;76;411.1;256;0.31;670;1;0;14;0;1590;1;426;0;11;0.926;31.8;402.9;0;-277;1313;27.84;39;27.5;40.29;26.6;43.9;25.04;11.93;22.38
11/03/2021 11:45:21;257;12;134.14;1953;189;1587;0.8;1.18;1358;1356;3.37;411;27.6;0.008;76;411.1;257;0.31;668;1;0;14;0;1592;1;426;0;11;0.928;31.8;403;0;-280;1311;27.84;39;27.5;40.29;26.6;43.9;24.98;11.68;22.33
11/03/2021 11:45:22;257;9;137.15;1953;182;1604;0.8;1.23;1358;1350;3.52;408;27.6;0.008;76;411.1;257;0.31;665;1;0;14;0;1586;1;426;0;11;0.927;31.8;403.4;0;-279;1307;26.86;39;27.5;40.29;26.6;43.95;24.97;11.49;22.33
11/03/2021 11:45:23;257;11;136.82;1953;181;1602;0.8;1.13;1358;1350;3.29;410;27.6;0.008;76;411.1;257;0.31;668;1;0;14;0;1584;1;427;0;11;0.927;31.8;403.4;0;-277;1308;26.86;39;27.5;40.29;26.6;43.97;24.97;11.29;22.33
11/03/2021 11:45:24;257;10;135.48;1953;181;1595;0.8;1.25;1358;1356;3.26;411;27.7;0.008;76;411.1;257;0.31;666;1;0;14;0;1593;1;427;0;11;0.925;31.8;403.1;0;-276;1316;27.35;39;27.36;40.29;26.6;44;24.99;11.1;22.28
11/03/2021 11:45:25;257;10;137.82;1953;176;1608;0.8;1.18;1358;1357;3.61;411;27.7;0.008;76;411.1;257;0.31;668;1;0;14;0;1595;1;427;0;11;0.929;31.8;402.5;0;-276;1319;27.35;39;27.36;40.29;26.6;44;24.94;11.05;22.28
11/03/2021 11:45:26;257;13;138.16;1953;177;1610;0.8;1.23;1358;1356;3.11;411;27.7;0.008;76;411.1;257;0.31;666;1;0;14;0;1599;1;429;0;11;0.928;31.8;403.5;0;-280;1319;26.86;39;27.36;40.29;26.6;44.05;24.9;10.9;22.23
11/03/2021 11:45:27;257;10;132.8;1953;172;1579;0.79;1.17;1358;1356;3.56;410;27.7;0.008;76;411.1;257;0.31;667;1;0;14;0;1597;1;428;0;11;0.928;31.8;403.4;0;-278;1319;26.37;39;27.36;40.29;26.6;44.05;24.95;10.71;22.28
11/03/2021 11:45:28;257;14;135.82;1953;174;1597;0.79;1.23;1358;1356;3.52;411;27.7;0.008;76;411.1;257;0.31;667;1;0;14;0;1602;1;429;0;11;0.929;31.8;403.4;0;-279;1324;26.37;39;27.36;40.29;26.6;44.12;24.94;10.71;22.28
11/03/2021 11:45:29;257;14;136.82;1953;175;1602;0.8;1.16;1358;1356;3.31;411;27.6;0.008;76;411.1;257;0.31;667;1;0;14;0;1595;1;428;0;11;0.928;31.8;403.8;0;-280;1315;26.37;39;27.36;40.29;26.6;44.12;24.94;10.61;22.23
11/03/2021 11:45:30;257;11;135.48;1953;171;1595;0.8;1.23;1358;1356;3.46;411;27.6;0.008;76;411.1;257;0.31;665;1;0;14;0;1598;1;428;0;11;0.928;31.8;403.8;0;-280;1318;26.37;39;27.36;40.41;26.6;44.14;24.94;10.46;22.28
11/03/2021 11:45:31;257;11;136.82;1953;173;1602;0.8;1.2;1358;1356;3.28;409;27.6;0.008;76;411.1;257;0.31;666;1;0;14;0;1598;1;428;0;11;0.928;31.8;403.6;0;-282;1315;26.37;39;27.36;40.41;26.6;44.12;24.9;10.37;22.14
11/03/2021 11:45:32;256;14;133.47;1953;173;1583;0.8;1.23;1358;1368;3.21;407;27.6;0.008;76;411.1;256;0.31;670;1;0;14;0;1601;1;426;0;11;0.922;31.8;403.5;0;-281;1320;26.86;39;27.36;40.41;26.6;44.19;24.92;10.27;22.19
